fname,event
dataset\AknesDataFiles\DataSamples\Slope_HF\2013_027_54_236975.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2013_125_54_240873.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2013_139_45_241930.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2013_141_36_242060.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2013_153_36_242523.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2013_181_45_244187.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2013_213_54_239662.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2013_224_45_240338.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2013_247_45_240828.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2013_253_54_241188.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2013_306_54_245663.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2013_314_54_246134.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2013_320_36_247035.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2013_357_36_250238.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2014_013_36_242384.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2014_024_54_243838.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2014_032_45_244391.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2014_032_45_244449.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2014_043_36_240800.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2014_059_45_241812.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2014_066_36_242377.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2014_088_45_244251.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2014_090_45_244382.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2014_105_45_245738.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2014_109_45_246226.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2014_111_54_246405.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2014_133_45_248320.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2014_233_45_245355.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2014_239_54_246325.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2014_251_36_247223.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2014_308_45_255461.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2014_313_36_256307.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2014_318_72_257482.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2014_331_36_260674.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2014_353_36_264834.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2015_002_54_266277.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2015_003_54_266531.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2015_004_54_266605.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2015_005_63_266963.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2015_007_45_267308.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2015_009_63_267635.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2015_014_36_268182.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2015_022_63_269257.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2015_029_63_270077.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2015_030_63_270213.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2015_053_54_273086.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2015_055_54_273239.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2015_097_45_280214.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2015_110_36_284988.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2015_139_54_293741.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2015_146_45_295828.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2015_154_45_297378.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2015_160_36_298114.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2015_302_45_311110.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2016_024_45_322314.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2016_046_54_326390.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2016_109_63_337115.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2016_112_36_337486.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2016_118_63_338781.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2016_134_54_303289.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2016_140_54_303963.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2016_171_54_309165.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2016_179_54_310055.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2016_186_45_311496.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2016_202_45_315763.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2016_232_36_330070.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2016_288_36_353600.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2016_291_36_355086.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2016_311_36_361642.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2017_050_45_396321.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2017_087_36_413557.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2017_113_36_426795.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2017_116_36_429228.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2017_333_54_395941.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2017_339_36_399405.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2017_362_54_389186.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2018_001_36_392893.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2018_014_54_394383.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2018_033_45_396024.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2018_035_36_396151.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2018_049_36_397238.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2018_049_36_397262.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2018_054_36_397531.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2018_064_45_398078.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2018_131_36_392906.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2018_199_45_398189.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2018_276_36_390527.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2018_332_36_389401.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2018_353_36_390828.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2020_018_30_406562.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2020_027_30_407381.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2020_051_39_408984.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2020_055_39_409379.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2020_070_36_410270.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2020_088_39_412080.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2020_145_39_421786.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2020_148_39_422281.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2020_187_39_425844.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2020_190_39_426445.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2020_273_30_434000.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_HF\2020_289_30_434997.dat,Slope_HF
dataset\AknesDataFiles\DataSamples\Slope_LF\2007_004_36_114740.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2007_013_54_115288.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2007_014_45_115377.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2007_018_45_115775.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2007_023_36_116209.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2007_023_45_116116.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2007_023_45_116124.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2007_023_45_116141.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2007_023_54_116118.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2007_023_54_116120.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2007_023_54_116126.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2007_023_63_116123.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2007_023_63_116161.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2007_025_36_116331.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2007_028_45_116762.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2007_028_45_116768.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2007_031_36_117115.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2007_031_45_117032.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2007_031_45_117087.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2007_034_54_117637.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2007_035_45_117784.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2007_038_45_118055.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2007_062_54_120215.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2007_079_36_121921.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2007_086_45_123513.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2007_086_45_123744.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2007_086_63_123732.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2007_088_36_124508.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2007_089_45_124793.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2007_091_63_125235.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2007_094_54_125964.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2007_113_54_128619.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2007_323_36_175135.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2007_331_36_174919.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2008_040_72_181692.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2008_046_36_182486.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2008_057_36_184035.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2008_064_36_184942.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2008_074_63_187071.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2008_075_36_187273.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2008_075_36_187442.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2008_075_54_187397.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2008_078_36_187880.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2008_079_36_188007.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2008_084_45_188868.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2008_093_36_190576.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2008_094_45_190882.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2008_094_45_191011.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2008_098_36_191870.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2008_098_45_191747.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2008_098_54_191655.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2008_105_45_193692.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2008_106_36_193808.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2008_109_36_194613.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2008_110_54_194935.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2008_111_45_195323.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2008_114_36_196144.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2008_114_54_196411.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2008_115_36_196845.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2008_115_45_196868.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2008_116_36_197259.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2008_116_54_197220.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2008_120_36_198712.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2008_120_45_198507.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2008_120_45_198615.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2008_121_45_198756.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2008_124_36_199929.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2008_125_36_200252.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2008_130_36_202193.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2008_143_45_204553.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2008_146_54_204841.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2008_147_36_205042.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2008_168_36_207097.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2008_248_54_207260.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2008_312_54_214224.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2008_334_45_216600.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2008_363_54_218634.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2009_005_45_219196.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2009_005_63_219188.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2009_014_54_220698.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2009_025_54_221893.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2009_031_45_222443.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2009_032_36_222490.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2009_033_45_222665.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2009_036_36_222791.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2009_046_45_223270.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2009_078_36_225378.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2009_084_54_226053.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2009_094_54_227199.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2009_101_36_228873.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2009_102_54_229075.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2009_103_36_229434.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2009_106_36_230331.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2009_108_36_230483.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2009_110_45_231007.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2009_116_36_232277.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2009_117_36_232370.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2009_118_36_232857.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2009_134_36_235771.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2009_135_36_235926.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2009_150_45_238237.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2009_153_36_238667.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2009_157_36_239731.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2009_176_36_242319.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2009_197_45_244934.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2010_039_45_116231.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2010_071_54_118808.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2010_073_36_119073.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2010_127_54_125087.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2010_134_45_125768.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2010_148_45_128139.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2010_209_36_133385.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2010_280_63_141372.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2011_001_36_148113.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2011_001_36_148199.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2011_001_54_148124.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2011_002_36_148242.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2011_003_54_148335.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2011_016_36_139201.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2011_019_45_139376.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2011_025_36_139741.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2011_030_45_139997.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2011_031_45_140070.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2011_034_45_140194.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2011_036_45_140403.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2011_036_54_140401.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2011_037_54_140423.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2011_043_36_140858.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2011_044_63_140914.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2011_045_45_140988.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2011_052_36_141285.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2011_063_36_142183.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2011_081_36_143152.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2011_081_45_143143.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2011_083_63_143412.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2011_089_45_143849.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2011_089_45_143864.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2011_089_63_143886.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2011_090_54_144010.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2011_090_63_144004.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2011_091_36_144063.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2011_092_45_144493.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2011_093_36_144665.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2011_093_54_144723.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2011_093_63_144659.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2011_095_54_144886.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2011_096_36_145205.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2011_097_36_145288.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2011_097_63_145309.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2011_098_54_145408.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2011_098_54_145478.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2011_099_36_145554.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2011_099_36_145595.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2011_099_63_145607.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2011_100_63_145621.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2011_101_45_146049.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2011_104_36_146351.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2011_111_36_147609.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2011_111_45_147677.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2011_111_45_147706.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2011_112_36_147840.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2011_112_36_147981.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2011_112_63_147987.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2011_113_45_148065.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2011_114_54_148226.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2011_116_45_148509.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2011_120_45_148994.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2011_121_36_149007.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2011_121_36_149040.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2011_126_63_149495.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2011_130_36_149812.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2011_136_63_150346.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2011_157_36_153817.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2011_162_36_154144.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2011_173_45_154774.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2011_215_36_157055.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2012_087_36_192262.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2012_113_54_197449.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2012_114_54_197766.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2012_117_54_198946.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2012_147_45_207272.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2012_265_54_225721.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2013_022_36_236721.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2013_022_45_236787.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2013_033_36_237215.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2013_033_45_237212.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2013_033_54_237279.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2013_298_36_244805.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2014_020_36_243647.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2014_035_36_244697.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2014_325_36_259114.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2014_326_54_259447.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2015_032_36_270490.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2015_110_36_284981.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2016_005_36_316024.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2016_008_45_317100.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2016_009_45_317201.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2016_056_36_328460.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2016_056_45_328457.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2016_056_45_328472.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2016_056_45_328475.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2016_095_45_334738.dat,Slope_LF
dataset\AknesDataFiles\DataSamples\Slope_LF\2016_284_36_351962.dat,Slope_LF
